Word,Index
climate,923
centralabout,795
usabout,5463
usteamcareerspress,5485
releasesequityour,4294
storyour,4923
approachour,308
workprogramstoolsspecial,5723
topicsdata,5264
productssea,4023
level,3004
riseclimate,4423
central,794
program,4034
on,3610
sea,4555
rise,4422
strives,4946
to,5238
provide,4080
accurate,37
clear,916
and,242
granular,2286
information,2671
about,7
coastal,951
flood,2044
hazards,2399
both,622
locally,3072
globally,2242
today,5240
tomorrow,5248
mattersclimate,3199
matters,3196
is,2786
reporting,4329
resource,4358
that,5155
helps,2438
meteorologists,3262
journalists,2843
report,4327
impacts,2583
solutions,4784
in,2604
ways,5612
are,330
local,3070
immediate,2579
personal,3778
grounded,2312
the,5157
latest,2945
science,4537
partnership,3730
journalismclimate,2837
journalism,2835
collaborates,962
with,5700
newsrooms,3491
nationwide,3436
including,2613
print,3992
radio,4151
digital,1444
tv,5364
outlets,3666
shift,4656
index,2634
revealing,4396
realtime,4209
fingerprints,2022
of,3589
change,818
weathersee,5623
all,185
programsimpactstoriesresearchgivegive,4039
nowways,3548
giveresourcesopen,2229
search,4557
boxsearchcheck,630
score,4546
influence,2664
temperature,5129
anywhere,287
researching,4349
communicating,1012
solutionswe,4787
use,5468
technology,5118
generate,2195
thousands,5192
storylines,4922
compelling,1026
visuals,5552
make,3136
show,4673
what,5655
can,732
be,494
done,1534
it,2794
usscience,5482
made,3124
clearhelping,917
bring,650
into,2749
reportingclimate,4330
mattersexploration,3200
easypowerful,1606
tools,5258
understand,5401
solutionscoastal,4785
risk,4426
screening,4552
toolexplore,5256
flooding,2047
risks,4429
worldwide,5734
maps,3158
most,3381
advanced,90
available,422
global,2239
model,3334
elevationsglobal,1661
indexsee,2639
daily,1267
temperatures,5130
around,344
world,5727
picturing,3815
our,3658
futurevisualize,2166
how,2511
energy,1714
choices,866
this,5185
decade,1313
will,5684
levels,3006
for,2070
hundreds,2526
years,5757
sinking,4709
tax,5104
basequantify,479
impact,2580
county,1192
bases,480
as,354
property,4064
lines,3036
move,3386
inland,2686
indexdemonstrate,2636
by,703
using,5479
tm,5237
put,4117
number,3555
weather,5621
conditions,1066
powercreate,3929
download,1544
graphical,2288
forecasts,2077
wind,5688
or,3637
solar,4778
electricity,1655
generation,2197
any,281
media,3227
market,3171
congressional,1080
districtrisk,1497
finderexplore,2017
community,1017
downloadable,1545
tables,5075
figures,1997
projections,4051
potential,3923
populations,3900
land,2923
values,5495
morecoastal,3370
elevationsrealtime,1662
resourcesproduction,4361
ready,4203
localized,3071
just,2857
click,919
awayexplore,438
materials,3192
libraryclimate,3014
mattersburning,3198
hot,2505
